,Country Name,Alpha-3 code,Womens Points,Mens Points,Percentage Difference
0,Korea DPR,PRK,1940.0,1169.96,-65.81763480000001
1,Taiwan,TWN,1581.2,1017.78,-55.35773939999999
2,Papua New Guinea,PNG,1512.43,997.6,-51.6068565
3,Myanmar,MMR,1517.95,1011.91,-50.008399999999995
4,Guam,GUM,1218.07,838.33,-45.297198
5,New Zealand,NZL,1741.94,1198.96,-45.2875826
6,China PR,CHN,1862.87,1305.06,-42.7420961
7,Tonga,TON,1221.48,861.81,-41.734257
8,Laos,LAO,1257.98,914.66,-37.535258999999996
9,Iceland,ISL,1870.66,1379.61,-35.5933923
10,Samoa,WSM,1212.01,894.26,-35.532171899999994
11,Fiji,FJI,1345.58,993.37,-35.4560738
12,Vietnam,VNM,1643.66,1218.84,-34.8544518
13,Canada,CAN,1986.51,1473.82,-34.7864732
14,Thailand,THA,1555.0,1170.69,-32.8276487
15,Philippines,PHL,1479.91,1115.13,-32.7118811
16,Sweden,SWE,2050.18,1563.44,-31.1326306
17,Cook Islands,COK,1174.93,899.33,-30.6450357
18,USA,USA,2111.47,1635.01,-29.1411062
19,Guyana,GUY,1247.77,968.74,-28.803394100000002
20,Australia,AUS,1906.2,1483.73,-28.4735093
21,Norway,NOR,1889.96,1488.57,-26.9648051
22,Malta,MLT,1231.0,974.68,-26.2978619
23,Nepal,NPL,1196.73,950.45,-25.9119365
24,Cuba,CUB,1217.56,978.65,-24.4122005
25,Hong Kong,HKG,1314.35,1058.37,-24.1862487
26,Germany,DEU,2059.75,1658.96,-24.1591117
27,Moldova,MDA,1170.7,944.96,-23.8888419
28,Japan,JPN,1917.07,1554.69,-23.3088268
29,Puerto Rico,PRI,1186.72,974.32,-21.7998194
30,Mongolia,MNG,1111.95,913.55,-21.7174758
31,Korea Republic,KOR,1850.09,1526.02,-21.2362879
32,Austria,AUT,1813.37,1502.47,-20.6925929
33,Cambodia,KHM,1142.14,954.3,-19.683537700000002
34,Finland,FIN,1669.24,1398.41,-19.3669954
35,Netherlands,NLD,2002.99,1679.41,-19.2674808
36,India,IND,1425.51,1198.65,-18.9262921
38,Belarus,BLR,1457.75,1226.55,-18.849618800000002
39,Indonesia,IDN,1209.02,1019.19,-18.6255752
41,New Caledonia,NCL,1175.63,999.7,-17.5982795
42,Republic of Ireland,IRL,1695.26,1442.48,-17.5239865
44,Sri Lanka,LKA,968.0,825.25,-17.2977885
45,Uzbekistan,UZB,1523.83,1306.63,-16.6229154
46,Malaysia,MYS,1231.94,1057.59,-16.4855946
47,Spain,ESP,1983.13,1716.93,-15.5044178
48,France,FRA,2037.69,1764.85,-15.4596708
49,Bangladesh,BGD,1017.16,883.18,-15.170180499999999
50,Russia,RUS,1717.04,1493.42,-14.9736846
51,American Samoa,ASM,1030.0,900.27,-14.410121400000001
52,Vanuatu,VUT,1132.82,990.55,-14.3627278
53,Haiti,HTI,1445.71,1269.07,-13.918854
54,Dominican Republic,DOM,1173.44,1031.86,-13.7208536
55,Lithuania,LTU,1219.51,1074.08,-13.539959800000002
56,Timor-Leste,TLS,973.91,860.06,-13.2374486
57,Azerbaijan,AZE,1274.5,1127.17,-13.0707879
58,Slovenia,SVN,1536.95,1372.48,-11.9834169
59,Jamaica,JAM,1543.93,1382.06,-11.7122267
60,Czechia,CZE,1675.21,1502.9,-11.4651673
61,Denmark,DNK,1855.49,1665.47,-11.409391900000001
62,Equatorial Guinea,GNQ,1344.47,1215.33,-10.6259205
63,Romania,ROU,1574.3,1427.84,-10.2574518
64,Switzerland,CHE,1775.36,1621.43,-9.4934718
65,Trinidad and Tobago,TTO,1318.11,1205.85,-9.3096156
66,Italy,ITA,1868.29,1713.86,-9.0106543
67,South Africa,ZAF,1464.36,1350.55,-8.4269372
68,Guatemala,GTM,1259.69,1161.96,-8.410788700000001
69,Singapore,SGP,1088.77,1004.75,-8.3622792
70,Solomon Islands,SLB,1181.11,1092.56,-8.104818
72,Jordan,JOR,1377.44,1279.74,-7.634363199999999
73,Brazil,BRA,1975.82,1837.56,-7.5241081
74,Costa Rica,CRI,1612.44,1500.06,-7.4917003
75,Nicaragua,NIC,1157.63,1079.18,-7.2694083
76,Slovakia,SVK,1541.41,1439.99,-7.0431045
77,Faroe Islands,FRO,1211.4,1136.29,-6.6101083
78,Poland,POL,1647.92,1546.18,-6.580087699999999
79,Ukraine,UKR,1643.46,1542.79,-6.5251914
80,Venezuela,VEN,1494.4,1405.17,-6.3501213
81,Colombia,COL,1700.4,1604.07,-6.0053489
82,Kazakhstan,KAZ,1234.3,1166.28,-5.832218699999999
84,Serbia,SRB,1630.68,1549.53,-5.2370719
85,Paraguay,PRY,1510.53,1440.13,-4.8884476
86,Chile,CHL,1580.9,1514.86,-4.359478800000001
87,Latvia,LVA,1168.47,1125.36,-3.8307742
88,Israel,ISR,1365.34,1316.35,-3.7216546000000004
89,Hungary,HUN,1538.35,1486.76,-3.4699615
90,Bermuda,BMU,1007.55,977.47,-3.0773323
91,Seychelles,SYC,884.64,860.48,-2.8077351999999998
92,Ethiopia,ETH,1117.66,1088.27,-2.7006166
93,Panama,PAN,1425.65,1389.27,-2.6186414
94,Nigeria,NGA,1535.09,1504.7,-2.0196717
95,St. Lucia,LCA,982.0,965.66,-1.692107
96,Ghana,GHA,1416.77,1393.47,-1.6720848
97,Suriname,SUR,1089.15,1072.24,-1.5770723
98,St. Kitts and Nevis,KNA,1090.74,1076.91,-1.2842299
99,St. Vincent and the Grenadines,VCT,950.85,939.97,-1.1574837
100,Zambia,ZMB,1280.19,1270.8,-0.7389046
101,Togo,TGO,1138.33,1130.22,-0.7175594000000001
102,Portugal,PRT,1688.06,1678.65,-0.5605694999999999
103,Estonia,EST,1180.34,1177.4,-0.24970270000000003
104,Belgium,BEL,1823.83,1821.92,-0.1048345
105,Dominica,DMA,910.74,911.51,0.0844752
106,Albania,ALB,1346.01,1361.81,1.1602206
107,Gambia,GMB,1124.04,1137.47,1.1806904999999999
108,Mexico,MEX,1628.95,1649.57,1.2500227
109,Bosnia and Herzegovina,BIH,1385.2,1403.98,1.3376259
110,Cayman Islands,CYM,854.05,865.72,1.3480109
111,Barbados,BRB,966.8,982.27,1.5749234
113,Zimbabwe,ZWE,1115.59,1138.56,2.0174607
114,Greece,GRC,1409.31,1441.45,2.2296993
115,Turkmenistan,TKM,1075.41,1100.47,2.2772088
116,Bahrain,BHR,1254.12,1289.25,2.72484
118,Cote d'Ivoire,CIV,1379.39,1435.91,3.9361798000000006
119,Congo,COG,1161.46,1215.09,4.4136648
120,Cameroon,CMR,1417.44,1484.95,4.546281
121,Cyprus,CYP,1123.46,1180.52,4.833463200000001
122,Ecuador,ECU,1377.83,1463.74,5.8692117
123,Argentina,ARG,1660.37,1770.65,6.2282213
124,Maldives,MDV,952.73,1018.25,6.4345691
125,Bolivia,BOL,1213.1,1298.81,6.5991177
126,Turkiye,TUR,1374.84,1475.13,6.798722799999999
127,Luxembourg,LUX,1150.79,1235.36,6.845777699999999
128,Bulgaria,BGR,1229.79,1325.16,7.1968668
129,Botswana,BWA,979.35,1060.17,7.6233057
130,Montenegro,MNE,1251.28,1354.59,7.626661899999999
131,Sierra Leone,SLE,1073.89,1169.71,8.191774
133,Kyrgyz Republic,KGZ,1120.59,1232.91,9.110154
134,Angola,AGO,1041.91,1149.08,9.3265917
136,Belize,BLZ,839.85,950.88,11.6765522
137,Mali,MLI,1273.24,1442.88,11.7570415
138,Honduras,HND,1145.7,1299.69,11.84821
139,United Arab Emirates,ARE,1181.72,1346.09,12.210922
140,Tajikistan,TJK,1033.87,1179.1,12.3170215
141,Namibia,NAM,1020.53,1164.13,12.3353921
142,Grenada,GRD,849.17,969.0,12.3663571
143,IR Iran,IRN,1364.73,1558.64,12.440974200000001
144,Algeria,DZA,1288.27,1480.59,12.989416400000001
145,Congo DR,COD,1159.0,1332.84,13.0428258
146,Anguilla,AIA,687.55,790.74,13.0498015
147,Armenia,ARM,1072.97,1242.42,13.638705100000001
148,Georgia,GEO,1118.09,1296.46,13.758234
149,El Salvador,SLV,1148.88,1333.48,13.8434772
150,Tunisia,TUN,1298.6,1507.86,13.877946199999998
151,Tanzania,TZA,965.82,1121.91,13.912880699999999
152,Croatia,HRV,1404.39,1632.15,13.9545998
153,Peru,PER,1334.47,1562.24,14.579706100000001
154,Aruba,ABW,728.86,855.37,14.7900908
155,Lebanon,LBN,1032.23,1211.71,14.812125000000002
156,Liberia,LBR,891.31,1051.25,15.2142687
157,Bhutan,BTN,769.0,910.96,15.583560199999999
158,Morocco,MAR,1315.41,1558.35,15.589565899999998
159,Uruguay,URY,1374.14,1640.95,16.259483799999998
160,Guinea,GIN,1078.56,1294.89,16.7064384
161,Gabon,GAB,1079.87,1301.84,17.0504824
162,Egypt,EGY,1228.15,1482.63,17.1640935
163,Kenya,KEN,991.78,1202.26,17.5070284
164,Malawi,MWI,942.66,1144.77,17.6550748
165,Rwanda,RWA,894.87,1095.04,18.2796975
166,Benin,BEN,1020.94,1258.71,18.8899747
168,Senegal,SEN,1258.35,1584.59,20.588291
169,Lesotho,LSO,842.0,1061.4,20.6708121
170,North Macedonia,MKD,1082.42,1375.2,21.289994200000002
171,Niger,NER,877.93,1155.23,24.003878
172,Eswatini,SWZ,807.89,1070.89,24.5590117
173,Burundi,BDI,799.08,1076.26,25.753999999999998
174,Burkina Faso,BFA,1050.87,1425.64,26.287842700000002
175,Uganda,UGA,924.09,1264.56,26.923989399999996
176,Andorra,AND,751.46,1028.7,26.950520100000002
177,Antigua and Barbuda,ATG,804.42,1117.01,27.9845301
178,Guinea-Bissau,GNB,835.18,1165.53,28.343328800000002
179,Mozambique,MOZ,815.14,1165.41,30.0555169
180,South Sudan,SSD,649.69,983.99,33.9739225
181,Comoros,COM,733.0,1127.44,34.9854538
183,Madagascar,MDG,691.0,1193.78,42.1166379
184,Mauritius,MUS,363.36,932.02,61.0137122
